index, total_training, useful_training, total_prediction, true_prediction, total_prefetch, useful_prefetch, cache_operate, cache_hit
0, 0, 0, 0, 0, 0, 0, 0, 0
1, 81, 81, 453, 191, 191, 18, 1469, 194
2, 151, 151, 624, 362, 362, 20, 2430, 526
3, 162, 162, 689, 427, 427, 23, 2745, 657
4, 183, 183, 721, 459, 459, 23, 2956, 736
5, 183, 183, 721, 459, 459, 23, 2962, 742
6, 183, 183, 721, 459, 0, 0, 2965, 745
7, 183, 183, 721, 459, 0, 0, 2966, 746
8, 183, 183, 745, 483, 24, 0, 3093, 798
9, 191, 191, 757, 495, 36, 1, 3201, 845
10, 191, 191, 770, 508, 49, 1, 3295, 876
11, 191, 191, 785, 523, 64, 2, 3441, 932
12, 200, 200, 842, 580, 121, 4, 3728, 1042
13, 215, 215, 962, 700, 241, 8, 4120, 1227
14, 215, 215, 968, 706, 247, 8, 4129, 1235
15, 215, 215, 968, 706, 247, 8, 4135, 1241
16, 217, 217, 968, 706, 247, 8, 4141, 1247
17, 217, 217, 971, 709, 250, 8, 4145, 1251
18, 220, 220, 1007, 745, 286, 9, 4371, 1347
19, 220, 220, 1029, 767, 308, 10, 4478, 1392
20, 223, 223, 1062, 800, 341, 11, 4645, 1458
21, 229, 229, 1109, 847, 388, 11, 5027, 1634
22, 229, 229, 1121, 859, 400, 11, 5130, 1666
23, 229, 229, 1163, 901, 442, 15, 5338, 1740
24, 283, 283, 1215, 953, 494, 15, 5671, 1912
25, 286, 286, 1238, 976, 517, 15, 5816, 1982
26, 288, 288, 1256, 994, 535, 16, 5956, 2042
27, 288, 288, 1256, 994, 535, 16, 5960, 2046
28, 291, 291, 1262, 1000, 541, 16, 5968, 2054
29, 292, 292, 1271, 1009, 550, 16, 5974, 2060
30, 292, 292, 1274, 1012, 553, 16, 5979, 2065
31, 292, 292, 1274, 1012, 553, 16, 5982, 2068

