index, address, array, ip_fold_1, pf_degree, valid, ppf_prediction
1, 114262219, ( 36 ), ( 0 ), ( 1 ), ( 1 ), ( 0 )
2, 95372007, ( 11 ), ( 0 ), ( 2 ), ( 1 ), ( 0 )
3, 132409243, ( 31 ), ( 143 ), ( 3 ), ( 1 ), ( 1 )
4, 114262221, ( 34 ), ( 202 ), ( 3 ), ( 1 ), ( 1 )
5, 95372000, ( 8 ), ( 0 ), ( 2 ), ( 1 ), ( 0 )
6, 5746284, ( 23 ), ( 0 ), ( 2 ), ( 1 ), ( 0 )
7, 64725166, ( 6 ), ( 0 ), ( 1 ), ( 1 ), ( 0 )
8, 95372002, ( 7 ), ( 963 ), ( 3 ), ( 1 ), ( 1 )
9, 132409252, ( 2 ), ( 0 ), ( 2 ), ( 1 ), ( 0 )
10, 95371989, ( 19 ), ( 963 ), ( 3 ), ( 1 ), ( 1 )
11, 64725149, ( 5 ), ( 0 ), ( 2 ), ( 1 ), ( 0 )
12, 64725132, ( 4 ), ( 239 ), ( 3 ), ( 1 ), ( 1 )
13, 132409251, ( 3 32 ), ( 0 0 ), ( 1 2 ), ( 1 1 ), ( 0 0 )
14, 95371988, ( 15 17 20 ), ( 0 0 0 ), ( 1 2 2 ), ( 1 1 1 ), ( 0 0 0 )
15, 5746283, ( 24 ), ( 0 ), ( 1 ), ( 1 ), ( 0 )
16, 132409253, ( 1 ), ( 239 ), ( 3 ), ( 1 ), ( 1 )
17, 95371990, ( 14 16 ), ( 0 963 ), ( 2 3 ), ( 1 1 ), ( 0 1 )
18, 95371986, ( 18 ), ( 0 ), ( 1 ), ( 1 ), ( 0 )
19, 95371987, ( 21 ), ( 0 ), ( 1 ), ( 1 ), ( 0 )
20, 95372005, ( 12 ), ( 0 ), ( 1 ), ( 1 ), ( 0 )
21, 5746285, ( 22 ), ( 961 ), ( 3 ), ( 1 ), ( 1 )
22, 95371998, ( 9 ), ( 0 ), ( 1 ), ( 1 ), ( 0 )
23, 101812261, ( 25 ), ( 963 ), ( 3 ), ( 1 ), ( 1 )
24, 101812259, ( 26 28 ), ( 0 963 ), ( 2 3 ), ( 1 1 ), ( 0 1 )
25, 114262220, ( 35 ), ( 0 ), ( 2 ), ( 1 ), ( 0 )
26, 101812257, ( 27 29 ), ( 0 0 ), ( 1 2 ), ( 1 1 ), ( 0 0 )
27, 95371992, ( 13 ), ( 963 ), ( 3 ), ( 1 ), ( 1 )
28, 101812255, ( 30 ), ( 0 ), ( 1 ), ( 1 ), ( 0 )
29, 95372009, ( 10 ), ( 963 ), ( 3 ), ( 1 ), ( 1 )
30, 132409259, ( 33 ), ( 0 ), ( 1 ), ( 1 ), ( 0 )

